Content,Video title,Video publish time,Duration,Likes,Dislikes,Shares,YouTube Premium views,Regular viewers,Casual viewers,Average views per viewer,New viewers,Unique viewers,Stayed to watch (%),Average view duration,Engaged views,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,1496,102,26,4295,0,0,0,0,0,37.69,0:00:21,36807,46333,226.6398,53,36711,1.68
F3HVs95pagk,Pointallism Portrait of Lady Gaga  #art #ladygaga,"Mar 15, 2025",60,144,6,2,239,,,,,,47.48,0:00:25,2766,2775,19.2306,7,728,4.12
ZTbDjXwKfMQ,Day 8 of painting a portrait every day till Christmas #chappellroan  #art #painting,"Dec 21, 2024",59,74,3,0,128,,,,,,49.84,0:00:31,1248,1248,10.9447,5,440,3.86
KOQlhJkbyL8,Pointallism Portrait of Benson Boone #art #portrait,"May 5, 2025",58,62,2,8,247,,,,,,44.78,0:00:26,997,2070,7.7034,2,330,3.33
UZLogdjtgxw,Pointallism Portrait of Billie Eilish #art #billieeilish,"Mar 18, 2025",60,56,1,0,70,,,,,,39.61,0:00:27,815,818,6.2381,1,409,1.96
XmeAwNT8xn8,Pointallism Portrait of Lady Gaga  #art #portrait,"Mar 24, 2025",56,36,2,1,81,,,,,,39.09,0:00:26,773,779,5.6763,4,319,1.57
3HSaxTGuMGE,Day 7 of painting a portrait every day till Christmas #oliviarodrigo  #art #painting,"Dec 20, 2024",47,28,2,0,22,,,,,,41.93,0:00:28,708,709,5.5467,0,190,1.05
SRnmF_FKx_M,Day 4 of painting a portrait every day till Christmas #britneyspears #art  #painting,"Dec 17, 2024",49,59,3,0,87,,,,,,40.91,0:00:17,1128,1132,5.4577,5,993,0.91
DhL_QV8qm4Q,Painting Challenge Part 5  #art #paintingchallenge,"Feb 14, 2025",55,23,3,0,45,,,,,,41.29,0:00:37,520,520,5.4056,2,83,6.02
DYZXLYMAdEg,Pointillism Portrait of Chappell Roan #art #portrait,"Mar 9, 2025",50,52,1,1,125,,,,,,43.88,0:00:24,753,781,5.1766,1,2165,1.48
cmRCYz7_jac,"Portrait of Philomena Cunk from ""Cunk on Life"" #art #painting","Jan 21, 2025",69,15,3,0,106,,,,,,60.22,0:00:31,565,583,4.9897,0,1939,1.13
aF3DDD021ow,Pointallism Portrait of Olivia Rodrigo #art #oliviarodrigo,"Mar 20, 2025",43,29,2,1,38,,,,,,53.08,0:00:19,891,895,4.9296,0,321,3.12
06GyTwcFsWQ,Pointallism Portrait of Taylor Swift #art #taylorswift,"Mar 13, 2025",59,36,2,0,43,,,,,,44.82,0:00:22,737,741,4.5909,2,452,1.77
krN5Y8518z0,Painting Challenge Part 8  #art #artistchallenge,"Feb 17, 2025",60,17,0,0,68,,,,,,52.84,0:00:37,435,435,4.5804,1,108,1.85
nWr5z_IVxEw,Painting Challenge Part 6 #valentinesday #art,"Feb 14, 2025",57,20,2,1,44,,,,,,31.58,0:00:28,569,569,4.49,0,715,1.12
GfJDrwVydj4,Day 6 of painting a portrait every day till Christmas #taylorswift  #art #painting,"Dec 19, 2024",57,46,3,0,58,,,,,,44.35,0:00:20,750,751,4.2419,1,169,1.18
F1IumJRQszI,Pointallism Painting of Gracie Abrams #art #portrait,"Mar 27, 2025",50,27,1,2,26,,,,,,39.82,0:00:24,629,634,4.2284,2,355,3.1
2U5udUTTAIE,Pointallism Portrait of Dua Lipa #art #portrait,"Mar 31, 2025",43,12,1,0,170,,,,,,34.08,0:00:26,532,1424,4.1823,0,397,1.26
Kiv3W4mDQPg,Pointallism Portrait of Selena Gomez #art #portrait,"Apr 6, 2025",57,21,2,1,148,,,,,,31.05,0:00:26,518,1592,4.1517,0,439,3.42
PuHCFIamRP8,Pointallism Painting for Sabrina Carpenter #art #sabrinacarpenter,"Mar 21, 2025",50,22,2,0,31,,,,,,46.43,0:00:23,618,621,3.9922,0,240,4.58
9fxelaSpBm4,Bonus short! Inverted colors portrait of #gracieabrams  #art #painting,"Dec 22, 2024",10,62,3,0,132,,,,,,50.74,0:00:11,1277,1302,3.9666,2,910,2.75
gW-04imDbYc,Coffee in a Mug #art #painting,"Feb 19, 2025",58,16,4,0,38,,,,,,36.96,0:00:24,552,556,3.8126,1,649,0.92
Pd4EPV2wgsg,Painting Challenge Part 7 #art #painting,"Feb 16, 2025",53,12,0,0,113,,,,,,48.53,0:00:26,510,510,3.8097,2,165,1.82
kj_fyglQcQo,Painting Challenge Part 13 #paintingchallenge #harrystyles,"Feb 28, 2025",54,33,2,2,44,,,,,,31.2,0:00:22,587,587,3.7473,0,525,3.24
 -JTnUJTN2aI,"""Harry Styles by Harry Styles"" by Art by Alison #art #painting","Jan 24, 2025",45,29,3,1,50,,,,,,35.81,0:00:19,703,704,3.7403,1,1212,0.41
JV6wYAuuZMQ,Painting Challenge Part 1 #art #paintingchallenge,"Feb 3, 2025",60,20,0,0,29,,,,,,35.53,0:00:23,540,540,3.5234,1,123,3.25
